               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 159,            0.027068,            0.051596,                   0,             0.89981,             0.90099,             0.95666,              0.6558,            0.023212,            0.055074,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.027334,            0.050316,                   0,             0.91583,             0.88443,             0.95656,             0.64803,            0.023603,             0.05422,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.026266,            0.051353,                   0,             0.89394,             0.90407,             0.95519,             0.65095,            0.023671,            0.055304,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.027032,            0.050973,                   0,             0.89315,             0.88879,             0.94804,             0.64264,            0.023548,            0.059696,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.026106,             0.05064,                   0,             0.90674,             0.89001,             0.95337,             0.64937,            0.023156,            0.056229,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.027003,            0.052568,                   0,             0.91519,             0.88502,             0.95457,             0.65314,            0.023026,            0.056139,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.026827,            0.050587,                   0,             0.90537,             0.88591,             0.95054,             0.64172,            0.024179,            0.059319,                   0,            0.004588,            0.004588,            0.004588
                 166,             0.02644,            0.049321,                   0,             0.89367,             0.89977,              0.9552,             0.65307,            0.022627,            0.056013,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.025955,             0.05145,                   0,             0.90902,             0.88532,             0.95493,             0.65044,            0.023524,            0.056681,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.02695,            0.053386,                   0,             0.89332,             0.87809,             0.94491,              0.6413,            0.023549,            0.058057,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.026821,            0.052165,                   0,             0.89458,             0.88237,              0.9445,             0.63844,            0.024159,            0.058744,                   0,            0.004456,            0.004456,            0.004456
